[2025/9/12 09:48:22] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/9/12 22:01:55] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/9/13 10:16:11] Packet 1/1 | Points: 7 | Size: 100 bytes
[2025/9/13 10:21:09] Packet 1/1 | Points: 7 | Size: 100 bytes
[2025/9/13 10:25:32] Packet 1/1 | Points: 7 | Size: 100 bytes
[2025/9/13 10:26:24] Packet 1/1 | Points: 7 | Size: 100 bytes
[2025/9/13 10:26:46] Packet 1/1 | Points: 7 | Size: 100 bytes
[2025/9/13 13:37:52] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/9/13 13:42:38] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/9/13 13:44:13] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/9/13 13:44:41] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/9/13 13:45:34] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/9/13 13:47:11] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/9/13 13:47:57] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/9/13 14:17:53] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/13 14:18:07] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/13 14:37:42] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/13 14:38:33] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/13 14:39:25] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/13 15:05:54] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/13 15:06:06] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/13 15:09:46] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/13 15:35:11] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/13 16:40:45] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/13 17:10:11] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/13 17:42:09] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/9/13 17:43:03] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/9/13 17:43:15] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/9/13 18:27:51] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/14 10:27:44] Packet 1/1 | Points: 10 | Size: 136 bytes
[2025/9/14 10:47:56] Packet 1/1 | Points: 11 | Size: 148 bytes
[2025/9/14 13:46:28] Packet 1/1 | Points: 8 | Size: 112 bytes
[2025/9/14 14:06:36] Packet 1/1 | Points: 8 | Size: 112 bytes
[2025/9/14 14:53:15] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/14 15:03:31] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/14 15:05:11] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/14 15:07:00] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/14 15:10:45] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/14 15:26:43] Packet 1/1 | Points: 8 | Size: 112 bytes
[2025/9/14 15:45:36] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/14 15:48:12] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/15 18:18:18] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/9/15 18:22:15] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/9/15 18:31:43] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/9/15 18:46:23] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/15 18:47:02] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/15 18:47:52] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/15 18:51:27] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/15 18:51:42] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/16 10:54:05] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/9/16 11:35:51] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/16 11:37:45] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/16 11:55:35] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/16 16:32:51] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/16 16:33:39] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/16 16:48:11] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/16 17:03:41] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/16 17:04:34] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/16 17:19:38] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/16 17:34:20] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/16 17:36:25] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/16 17:36:40] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/16 18:37:36] Packet 1/1 | Points: 13 | Size: 172 bytes
[2025/9/16 18:39:07] Packet 1/1 | Points: 13 | Size: 172 bytes
[2025/9/17 09:50:20] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/9/17 10:47:02] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/17 11:11:06] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/17 11:13:10] Packet 1/1 | Points: 36 | Size: 448 bytes
[2025/9/17 11:24:13] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/17 11:37:16] Packet 1/1 | Points: 35 | Size: 436 bytes
